"","year_week","country","weekly_count","rate_14_day","cumulative_count"
"1","2021-13","United States",4965,38.1930480453227,555001
"2","2021-13","India",3258,3.72027803375422,165101
"3","2021-13","Italy",3097,102.07659473553,111030
"4","2021-13","Poland",3073,148.584738271408,55005
"5","2021-13","Mexico",2513,47.3114849257892,204339
"6","2021-13","Ukraine",2455,102.643818017107,34587
"7","2021-13","Russia",2341,34.1454650258753,100374
"8","2021-13","France",2055,64.958199183437,96678
"9","2021-13","Hungary",1767,355.902630281142,21928
"10","2021-13","Peru",1503,84.8906063676265,53138
